50,74,74,58,51,51,63,44
50,55,81,50,24,56,66,46
57,79,71,53,45,54,82,48
43,50,74,55,26,56,70,42
59,79,62,58,36,50,70,34
56,75,72,59,36,62,75,47
42,55,68,61,25,53,85,38
46,57,68,64,40,45,86,47
50,63,72,61,40,51,92,49
46,37,70,57,23,50,70,35
41,61,80,57,45,52,76,32
61,77,72,50,34,54,65,48
64,78,77,69,40,53,72,45
34,58,58,58,45,64,81,37
44,67,81,56,31,60,60,41
44,61,64,55,34,62,75,44
37,65,77,62,26,58,86,39
39,62,81,55,38,62,71,47
33,56,75,64,40,60,79,54
41,66,80,57,35,65,69,52
36,54,82,64,35,71,91,39
41,63,70,57,39,64,73,40
40,56,70,53,37,79,88,52
34,40,56,50,41,67,72,47
48,59,69,55,31,42,77,32
38,68,69,63,48,47,77,37
46,61,76,60,32,61,80,48
51,62,82,62,30,65,63,40
62,71,83,58,40,69,85,46
53,70,71,57,32,50,74,45
54,70,88,65,55,70,80,52
49,63,71,56,36,57,75,42
53,63,79,62,35,58,69,37
55,73,76,58,34,66,74,50
56,68,70,52,29,64,89,41
31,55,74,52,29,68,88,45
60,80,80,55,47,52,72,39
57,78,69,68,40,46,65,44
43,55,70,51,32,54,85,46
51,74,82,59,30,44,71,39
40,72,56,67,41,57,76,48
45,61,75,63,30,54,73,42
61,71,59,49,33,55,71,46
53,68,81,63,38,61,76,42
45,69,71,67,32,60,80,50
49,53,73,56,42,62,73,52
48,68,71,57,38,64,65,51
59,75,68,45,48,56,85,55
60,88,87,68,37,57,71,52
55,72,73,66,31,49,72,48
69,86,83,66,37,53,83,46
63,81,86,57,40,76,87,61
50,74,60,54,27,55,80,46
69,83,87,74,41,59,84,46
64,80,74,59,30,60,79,50
42,72,69,61,34,68,94,53
49,71,68,55,26,57,88,51
43,76,64,52,29,66,75,49
48,74,52,46,40,54,70,51
46,68,75,44,34,67,77,47
60,72,84,75,49,52,72,51
47,74,82,63,34,50,90,47
52,78,77,57,45,53,94,48
58,53,68,48,36,47,54,31
47,56,67,53,30,51,77,39
51,72,75,62,28,56,85,46
54,76,66,62,37,46,69,50
55,82,80,53,29,65,85,48
44,66,70,61,35,62,61,46
62,81,68,53,37,53,73,51
41,60,62,59,37,55,97,44
62,92,78,60,37,60,79,55
53,76,69,60,35,50,76,57
45,64,68,58,25,48,79,46
31,68,77,53,24,57,79,49
48,71,69,53,32,49,76,44
57,63,62,45,21,57,71,49
37,71,79,51,24,46,65,47
55,63,76,49,38,57,74,56
53,85,80,63,33,59,80,45
43,73,67,61,35,58,82,56
54,88,66,57,30,69,83,46
41,69,71,65,30,74,86,54
42,73,81,62,30,53,89,50
58,84,74,54,32,53,86,53
54,74,79,56,43,58,84,63
42,73,73,51,27,55,78,44
38,80,75,57,32,70,74,42
48,69,64,46,27,66,84,43
51,78,68,45,29,52,74,43
46,90,63,35,47,69,93,59
43,71,56,35,21,57,84,39
62,73,65,45,29,52,67,49
45,60,70,47,27,60,83,56
54,81,60,53,33,50,66,56
35,74,76,52,38,68,88,59
38,55,66,46,31,63,79,59
49,83,59,42,33,50,90,67
47,78,67,47,32,74,94,63
53,92,67,48,34,73,80,54
61,82,67,55,26,62,84,66
57,79,66,55,38,56,87,53
46,79,65,58,41,58,65,42
45,71,80,64,37,53,77,45
63,88,80,56,32,60,75,55
61,79,67,54,41,64,70,56
39,63,71,48,34,68,87,54
51,70,61,55,35,65,78,51
54,79,70,46,35,74,85,49
63,67,76,55,28,70,82,61
59,70,66,59,34,70,88,55
62,80,74,66,49,68,86,59
52,88,77,57,45,75,84,61
51,78,74,49,37,56,84,38
47,72,74,43,37,58,70,46
55,82,75,53,30,55,84,48
66,75,77,60,38,49,67,42
63,81,79,62,46,56,84,61
57,82,78,61,42,65,62,40
44,69,85,67,36,50,72,43
46,73,78,65,38,50,84,39
59,76,81,42,29,69,80,48
48,70,64,55,35,62,74,40
46,70,79,51,44,58,82,60
45,77,81,61,32,61,95,35
46,74,68,60,34,57,83,49
37,74,61,62,31,58,70,34
47,64,72,42,38,65,88,45
53,73,82,60,32,59,79,50
55,82,74,54,32,69,82,52
49,80,86,57,44,56,81,48
45,60,78,61,30,50,84,39
43,54,73,48,27,58,95,27
57,78,73,54,36,72,81,46
39,64,72,53,27,60,71,39
61,62,90,68,34,51,89,50
65,75,65,52,34,64,86,46
34,59,75,46,26,65,97,49
47,78,80,52,35,63,87,43
45,64,69,58,32,80,70,47
54,66,70,49,52,75,71,41
55,88,77,57,46,51,91,47
48,70,67,58,23,61,76,39
60,72,68,54,33,62,73,41
53,70,69,63,36,67,92,43
41,79,56,61,27,55,83,36
57,77,65,57,27,52,99,45
43,78,59,49,36,59,94,45
49,74,64,55,21,65,82,46
59,84,65,55,31,58,82,52
51,76,69,58,34,43,80,52
45,67,60,53,38,50,91,47
48,88,72,53,36,61,87,50
46,84,73,51,34,65,95,47
39,74,68,45,33,58,74,41
53,81,73,58,25,59,79,49
43,60,64,57,30,55,80,53
58,79,75,50,35,63,80,51
48,70,67,48,22,65,81,45
35,83,64,59,39,55,97,44
57,83,75,56,27,78,89,45
42,85,76,55,28,54,86,50
50,79,93,48,31,68,87,48
53,91,63,46,34,69,88,49
43,75,80,57,23,70,96,54
61,74,72,42,22,57,89,47
51,78,64,46,35,53,78,47
55,78,69,54,37,61,84,38
54,91,80,53,24,55,94,51
47,75,78,58,31,53,83,52
44,78,78,60,27,64,75,48
51,88,59,53,43,65,79,48
52,85,76,54,29,68,71,38
59,78,63,58,29,64,92,54
42,77,82,51,30,69,80,34
46,79,67,57,31,68,94,52
48,84,68,48,20,53,68,41
61,76,71,47,33,63,68,55
60,79,65,55,37,72,89,59
59,82,75,58,42,64,70,59
54,79,62,46,33,46,64,39
50,74,69,50,34,67,99,54
52,76,64,48,33,48,78,50
61,74,73,52,27,54,74,36
55,71,57,54,30,57,72,53
46,85,71,42,28,72,82,53
51,83,50,43,31,47,58,48
51,76,61,46,23,58,52,27
45,74,63,63,34,62,70,40
54,85,59,45,37,54,82,46
53,86,60,51,31,62,79,52
53,78,66,50,27,69,96,41
52,87,71,46,30,57,89,52
48,75,54,51,32,58,79,49
43,74,67,43,30,51,66,44
47,75,79,49,31,58,80,45
47,62,55,52,28,53,82,47
41,73,53,46,28,65,69,31
53,77,54,48,27,54,71,48
41,62,61,54,33,64,68,51
50,70,64,49,28,70,85,50
51,72,65,57,42,52,76,43
49,75,63,46,25,56,80,50
52,83,62,63,36,63,78,54
49,62,66,50,34,62,85,41
62,76,71,66,38,71,79,57
35,86,62,43,20,47,72,44
53,69,57,55,37,58,75,37
51,79,67,47,33,73,76,51
55,73,63,49,26,66,70,43
53,81,47,44,43,65,73,56
68,80,64,49,23,57,74,48
44,68,54,31,34,57,79,41
41,68,56,34,30,54,66,46
52,71,55,43,38,47,61,48
43,65,55,36,20,51,70,38
51,67,61,52,37,58,76,42
59,80,68,47,35,63,86,58
45,74,58,50,30,52,59,35
44,76,60,40,26,52,51,38
52,71,56,51,27,60,85,55
47,79,53,45,32,63,97,59
41,63,50,46,26,60,75,47
42,61,57,54,25,48,86,41
53,62,56,42,30,65,73,60
46,72,57,36,23,58,86,47
49,73,69,39,35,57,83,58
51,73,56,53,40,65,72,39
53,69,61,39,24,50,77,43
55,68,59,41,24,53,75,51
44,71,67,41,27,59,72,42
58,67,53,40,31,54,70,49
42,66,64,38,35,60,76,41
52,68,52,41,24,68,94,45
43,77,71,52,36,66,102,52
53,78,67,32,41,79,96,55
56,77,69,44,35,74,80,49
51,65,56,29,27,55,90,49
50,78,65,42,33,68,71,56
53,75,66,30,24,59,67,31
53,80,65,32,30,57,81,42
43,67,57,53,35,59,81,49
56,91,53,46,20,69,96,69
45,82,70,58,35,81,89,58
36,69,55,47,28,61,74,44
46,79,61,55,20,59,86,52
67,77,61,43,36,71,98,60
45,77,69,55,26,67,84,50
64,86,74,44,27,65,83,48
58,74,68,40,35,70,87,53
58,67,60,61,37,52,75,45
62,69,57,62,33,59,76,50
54,60,67,43,24,58,71,49
50,70,74,45,21,70,81,46
49,79,68,43,34,47,82,50
51,74,61,56,39,57,89,49
44,73,68,64,35,72,94,58
51,75,64,56,40,73,88,54
58,93,70,57,29,88,84,62
54,68,74,61,36,69,81,57
45,59,61,58,30,67,87,46
52,83,78,53,41,68,85,45
45,66,68,66,29,59,83,59
57,87,75,69,31,62,93,56
58,74,76,55,28,67,87,53
50,76,67,54,25,62,86,52
43,80,68,54,29,65,81,48
44,83,62,38,39,60,83,43
54,67,73,43,38,57,93,47
51,79,81,45,34,64,74,45
60,81,72,48,40,71,94,52
60,75,58,50,33,58,102,43
53,74,88,47,34,57,77,38
56,71,66,56,43,64,89,51
58,78,74,52,40,68,85,57
46,81,72,39,33,65,80,42
55,90,83,55,34,57,85,42
43,79,48,45,37,58,89,52
55,68,62,52,39,62,73,46
50,85,51,48,37,54,80,45
51,78,65,53,36,77,88,50
47,73,58,49,39,53,84,48
54,76,77,50,27,75,89,59
59,94,59,47,30,67,100,53
48,76,70,63,38,73,73,44
57,76,64,48,39,58,78,50
43,75,72,46,30,65,95,47
56,87,77,65,33,63,76,45
47,69,74,44,35,57,67,45
41,71,59,39,22,64,71,45
59,86,74,53,36,72,83,57
58,73,69,41,34,63,78,55
44,84,62,46,24,72,90,47
63,70,70,50,32,71,101,56
49,71,67,38,31,68,88,65
52,70,63,48,26,61,86,49
53,68,68,39,19,60,92,50
48,68,78,46,30,76,92,50
61,81,74,51,39,66,90,52
51,78,62,37,22,70,85,51
47,69,66,49,30,77,91,54
64,89,59,49,29,57,69,60
72,72,71,44,29,79,104,77
52,74,64,48,26,71,92,51
52,85,69,38,29,78,100,54
63,84,69,49,29,72,82,57
59,85,82,43,22,60,81,44
57,70,70,42,32,65,81,55
52,68,53,31,45,54,51,38
70,79,41,26,36,60,53,44
44,41,37,26,24,60,51,46
44,43,30,29,31,58,56,33
44,39,31,20,30,78,55,29
43,56,29,27,37,50,57,34
49,52,36,23,34,64,45,34
50,61,30,45,34,58,51,40
62,71,46,30,25,76,61,39
33,35,33,37,26,64,56,31
40,34,37,22,37,63,54,38
40,35,26,36,33,55,38,32
43,40,26,27,21,62,41,25
58,52,31,36,42,54,55,46
50,29,29,28,27,57,54,38
46,33,24,20,32,51,54,30
45,28,20,25,19,48,45,31
45,39,37,29,28,61,62,41
65,61,42,26,35,61,54,39
56,54,37,37,28,61,60,39
61,60,39,26,26,42,56,30
45,40,38,29,42,54,49,37
34,44,31,35,26,57,49,38
62,70,46,32,46,57,47,53
55,52,38,38,41,60,65,41
60,57,50,35,46,80,58,49
61,63,34,25,38,61,48,35
60,70,37,30,40,43,36,48
58,52,38,29,26,61,39,38
61,70,32,44,27,52,36,41
56,55,43,35,42,44,44,40
35,71,35,44,37,45,56,36
52,73,46,39,37,75,44,39
46,35,37,29,27,56,46,40
49,37,25,33,30,64,47,32
65,43,31,18,33,66,57,27
51,31,37,34,34,67,56,35
43,30,36,29,34,57,52,33
32,29,32,29,32,76,58,33
51,39,22,27,26,58,51,38
44,39,30,35,34,68,54,31
26,22,31,29,32,82,62,24
39,32,33,20,23,70,56,40
37,29,20,20,32,77,62,23
37,30,22,19,34,60,62,36
37,18,27,37,29,75,62,45
41,29,30,20,27,42,55,26
36,23,27,25,29,71,61,22
42,25,31,26,31,78,60,29
31,29,32,21,33,75,54,32
42,38,29,22,25,71,50,29
40,27,36,26,40,81,60,32
43,29,21,29,26,88,82,44
37,27,24,28,28,74,59,44
48,22,29,25,26,74,56,28
34,31,28,30,19,79,69,23
33,32,26,24,28,80,79,40
37,27,28,18,21,72,58,33
40,29,27,31,29,78,64,35
26,33,32,29,44,63,63,31
33,31,22,23,31,67,61,35
40,24,23,22,35,66,51,18
42,28,25,29,35,64,52,34
36,23,27,30,35,71,81,40
37,32,41,27,36,78,61,32
44,28,34,23,27,80,59,42
41,31,29,36,38,55,48,37
34,26,20,26,30,82,70,32
53,23,21,28,26,76,58,38
35,35,25,30,28,72,68,37
41,34,26,31,31,56,56,33
31,22,25,27,23,68,71,47
43,31,24,29,25,63,55,33
34,39,25,25,19,66,51,34
42,42,39,28,28,83,72,28
43,37,42,21,31,49,69,39
33,25,34,24,28,61,54,30
46,37,29,34,30,71,54,36
40,31,41,35,29,77,49,25
40,34,37,28,30,68,54,32
52,41,26,25,31,59,51,38
41,36,34,22,36,58,48,32
40,54,27,33,27,70,76,33
40,53,37,24,30,57,49,32
29,26,26,37,33,53,49,43
35,34,33,26,36,60,55,34
47,35,34,13,35,54,65,30
37,28,27,22,40,48,55,29
27,24,26,28,33,64,44,28
40,25,24,32,31,57,47,50
44,37,32,33,35,64,52,34
43,41,36,26,26,49,39,41
47,36,24,24,35,61,51,37
25,34,22,23,26,65,56,37
29,30,32,37,19,57,56,27
31,39,34,35,12,53,37,34
37,35,33,26,36,56,55,38
33,23,31,30,40,76,75,33
33,23,25,35,35,56,55,32
44,22,40,31,33,47,47,24
58,77,63,60,44,55,62,45
48,66,64,58,37,60,82,50
46,61,55,60,38,52,64,44
44,72,56,49,41,80,78,53
46,71,72,50,31,62,93,51
50,58,82,48,34,65,92,56
57,78,66,45,36,53,88,55
44,75,67,50,30,56,99,56
44,80,74,56,37,58,72,50
66,67,68,48,29,58,84,51
43,88,75,47,22,68,84,51
55,70,70,59,38,61,77,54
42,75,68,55,25,60,80,46
44,79,67,41,40,60,86,65
50,77,75,39,23,64,87,54
45,69,60,45,29,55,92,46
44,74,72,48,29,68,89,61
52,74,69,43,34,67,86,58
58,79,57,45,29,71,93,51
40,75,76,46,31,63,84,43
52,74,78,48,23,66,92,36
39,71,65,41,23,74,94,56
44,77,68,53,32,70,74,53
51,88,78,38,30,58,81,44
53,65,69,51,27,60,102,46
49,70,67,49,35,52,88,45
52,78,73,50,38,58,83,52
61,87,70,52,31,67,98,49
41,77,66,47,40,74,86,53
44,72,77,39,29,62,87,42
30,71,65,45,33,57,94,45
48,72,59,34,31,67,91,53
46,85,66,50,32,57,82,33
44,58,75,70,39,63,87,49
34,76,74,50,31,60,89,52
35,72,74,51,29,61,83,43
43,80,75,50,33,62,80,52
33,62,67,41,30,63,82,49
55,73,71,55,42,70,72,50
31,74,67,49,34,63,89,42
36,72,78,45,23,50,73,53
47,62,66,40,36,51,71,47
47,66,74,51,25,53,76,50
46,60,65,48,29,50,84,41
39,54,73,56,35,50,74,46
48,74,65,42,35,59,79,41
48,86,70,53,40,53,82,51
52,85,65,43,31,65,79,42
50,71,73,39,30,60,93,56
44,81,70,40,27,59,79,55
57,66,67,48,27,67,78,46
41,80,64,40,20,85,80,57
40,67,79,49,31,77,87,52
55,86,66,46,31,57,81,58
38,69,82,46,29,60,94,58
38,76,77,40,22,54,90,51
42,73,60,53,43,59,92,55
47,75,69,35,27,69,86,45
49,76,82,51,34,63,80,58
55,79,55,39,29,60,87,35
41,58,75,38,30,67,79,71
34,37,63,26,32,82,78,58
37,60,58,33,34,79,88,63
49,66,62,40,39,77,90,65
51,59,68,41,47,84,98,62
52,66,81,42,41,66,88,65
49,59,56,44,37,71,90,68
45,69,67,47,65,78,86,60
